title,genres,actors,directors,synopsis,rating
The Lion King,"Adventure, Drama, Family, Animation","Chiwetel Ejiofor, John Oliver, Donald Glover",Jon Favreau,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",7.113
Arena Wars,"Action, Science Fiction, Thriller, Comedy, Horror","Michael Madsen, Eric Roberts, Robert LaSardo",Brandon Slagle,"In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom.",5.2
Subservience,"Science Fiction, Thriller","Megan Fox, Michele Morrone, Madeline Zima",SK Dale,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",6.8
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy","William Moseley, Anna Popplewell, Skandar Keynes",Andrew Adamson,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",7.134
GTMAX,"Action, Crime, Drama","Ava Baya, Jalil Lespert, Jérémie Laheurte",Olivier Schneider,"When a notorious gang of bikers recruits her brother for a heist, a former motocross champion must face her deepest fears to keep her family safe.",6.1
No salgas,"Thriller, Horror","Sofía Romano, Alan Yair, Galo Grasset",Gonzalo Giménez,"Struck by the tragic death of his father, Milagros, a young girl who studies drama, goes on a trip with her friends and her boyfriend, Juan Pablo, in search of calm and fun. Everything goes well until a group of masked strangers shows up.",8.8
Hotel Desire,"Drama, Romance","Saralisa Volm, Clemens Schick, Jan-Gregor Kremp",Sergej Moya,"Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass.",6.0
The Moor,"Horror, Mystery, Drama","Sophia La Porta, David Edward-Robertson, Elizabeth Dormer-Phillips",Chris Cronin,Claire is approached by the father of her murdered childhood friend to help investigate the haunted moor he believes is his son's final resting place.,5.517
Pleasure,Drama,"Sofia Kappel, Zelda Morrison, Tee Reel",Ninja Thyberg,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",6.219
Pleasure,Drama,"Sofia Kappel, Zelda Morrison, Tee Reel",Ninja Thyberg,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",6.219
Barbie,"Comedy, Adventure","Margot Robbie, Ryan Gosling, America Ferrera",Greta Gerwig,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",6.993
Kingdom of the Planet of the Apes,"Science Fiction, Adventure, Action","Owen Teague, Freya Allan, Kevin Durand",Wes Ball,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",7.1
Fifty Shades of Grey,"Drama, Romance, Thriller","Dakota Johnson, Jamie Dornan, Jennifer Ehle",Sam Taylor-Johnson,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",5.9
Whisper of the Witch,"Horror, Thriller","Arthur Beschastny, Maryana Spivak, Sofya Shidlovskaya",Serik Beyseu,"Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.",6.5
The Godfather,"Drama, Crime","Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.689
Oppenheimer,"Drama, History","Cillian Murphy, Emily Blunt, Matt Damon",Christopher Nolan,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,8.073
Outlanders,"Animation, Science Fiction, Comedy","Fumi Hirano, Mitsuo Iwata, Akira Kamiya",Katsuhisa Yamada,"In the midst of a violent invasion of Earth by unknown alien forces, photo-journalist Wakatsuki Tetsuya comes across a scantily-clad alien woman, cutting a swath of death through the Terran ranks with her sword. After a chaotic struggle, Tetsuya is knocked unconscious, only to awaken aboard her starship. To his surprise, she turns out to be Kahm, the invaders' princess - and she has picked Tetsuya for a starring role in her upcoming wedding. As the groom....",4.9
Y2K,"Comedy, Horror, Science Fiction","Jaeden Martell, Rachel Zegler, Julian Dennison",Kyle Mooney,Two high school nobodies make the decision to crash the last major celebration before the new millennium on New Year's Eve 1999. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.,5.325
Gladiator,"Action, Drama, Adventure","Russell Crowe, Joaquin Phoenix, Connie Nielsen",Ridley Scott,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",8.22
The Garfield Movie,"Animation, Comedy, Family, Adventure, Action","Chris Pratt, Samuel L. Jackson, Hannah Waddingham",Mark Dindal,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",7.121
Intimacy,"Romance, Drama, Fantasy","Mark Rylance, Kerry Fox, Susannah Harker",Patrice Chéreau,"Jay, a failed musician, walked out of his family and now earns a living as head bartender in a trendy London pub. Every Wednesday afternoon a woman comes to his house for graphic, almost wordless, sex. One day Jay follows her and finds out about the rest of her life. This eventually disrupts their relationship.",6.3
Sonic the Hedgehog 4,"Science Fiction, Adventure, Comedy, Family","Ben Schwartz, Colleen O'Shaughnessey, Idris Elba",Jeff Fowler,The fourth installment in the Sonic the Hedgehog franchise. Plot TBA.,0.0
Emilia Pérez,"Drama, Thriller","Karla Sofía Gascón, Zoe Saldaña, Selena Gomez",Jacques Audiard,"Rita, an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice, is hired by the leader of a criminal organization.",7.7
The Soul Eater,"Thriller, Horror, Crime, Mystery","Virginie Ledoyen, Paul Hamy, Sandrine Bonnaire","Alexandre Bustillo, Julien Maury","When the disappearance of children and bloody murders multiply in a small mountain village, an old legend shrouded in sulphur reappears... Commander Guardiano and Captain of the Gendarmerie De Rolan are forced to join forces to uncover the truth.",6.2
Sonic the Hedgehog,"Action, Science Fiction, Comedy, Family","Ben Schwartz, James Marsden, Tika Sumpter",Jeff Fowler,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",7.31
Spellbound,"Animation, Fantasy, Family, Adventure, Comedy","Rachel Zegler, Miguel Bernardeau, Giovanna Bush",Vicky Jenson,"When a powerful spell turns her parents into giant monsters, a teenage princess must journey into the wild to reverse the curse before it's too late.",6.796
Top Gun: Maverick,"Action, Drama","Tom Cruise, Miles Teller, Monica Barbaro",Joseph Kosinski,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",8.192
Young Mom 2,Romance,"Kim Woo-kyung, Kim Soo-ji, Jeon Ji-hak",Jeong Jin-ho,"Won-jin is unemployed and spends most of his time pleasuring himself and dreaming after Seon-mi. One day, his father brings home a very young wife who will be Won-jin's step-mother, and he hopes she'll be the woman of his dreams.",3.5
Cash Out,"Action, Thriller","John Travolta, Kristin Davis, Lukas Haas",Randall Emmett,"Criminal mastermind Mason is about to execute the score of a lifetime when his lover and key member of his crew, Decker, takes the team down and reveals she’s an undercover Interpol agent. Heartbroken, Mason escapes and retires from the life of crime until his younger brother Shawn is out of his league taking on a big bank heist all on his own. Mason has no choice left but to come to the rescue, while Interpol brings Decker in hoping to unnerve him. Before the SWAT teams storm the bank, Mason must use every tool in his arsenal to not only escape with the prize, but also the love of his life.",6.329
Dune: Part Two,"Science Fiction, Adventure","Timothée Chalamet, Zendaya, Rebecca Ferguson",Denis Villeneuve,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",8.152
Godzilla x Kong: The New Empire,"Action, Adventure, Science Fiction","Rebecca Hall, Brian Tyree Henry, Dan Stevens",Adam Wingard,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",7.1
Private Collections,"Drama, Romance","Roland Blanche, Marie-Catherine Conti, Marpessa Dawn","Walerian Borowczyk, Shūji Terayama, Just Jaeckin","Three stories. A solitary sailor falls from his boat and washes ashore on a tropical island. While seeking rescue, he's found by a nearly naked woman who is playful and compliant. He decides to erase his signs of distress and remain on the island. What awaits?  In the second, an adolescent searches for the words of a nursery rime he remembers bits of. His journey takes him into dreams, sexual awakening, and Oedipal fantasy.  Third, a man of wealth in late-nineteenth century Paris hires a prostitute for the night. She's also cabaret performer and takes him to her room. He fears he's about to be robbed. What's her secret?",6.05
SDI: Secret Department of Intervention,Action,"Thomas Khawam, Aurore Planas, Pierre André",,"Secret agents Mike, Stan, and Chloé, tasked with retrieving a stolen briefcase, discover it holds a secret map to hidden World War II treasures. Betrayed by their own French Minister of Defense and hunted by a former Marine, Vogel, the team faces internal conflicts and danger. As alliances shift, secrets unravel, and battles ensue, they must thwart Vogel's plan to claim the treasures, setting the stage for an international treasure hunt filled with unexpected twists and unresolved romantic entanglements.",5.1
The Smile of the Fox,Thriller,"Debora Caprioglio, Steve Bond, Sharon Marino",Sergio Martino,"Mark, a hitman haunted by his past as a corrupt Miami cop and the death of his wife and son,  prepares for his next killing. Gradually he becomes fascinated by the beautiful prostitute who lives in the next apartment and they embark on a passionate affair. Their dreams of a life together are complicated by her pimp being a drugs baron; before they can escape he must die, but things are never that simple...",5.6
OVERLORD: The Sacred Kingdom,"Action, Adventure, Animation, Fantasy","Satoshi Hino, Yumi Hara, Masayuki Katou",Naoyuki Ito,"After twelve years of playing his favorite MMORPG game, Momonga logs in for the last time only to find himself transported into its world playing it indefinitely. Throughout his adventures, his avatar ascends to the title of Sorcerer King Ains Ooal Gown. Once prosperous but now on the brink of ruin, The Sacred Kingdom enjoyed years of peace after construction of an enormous wall protecting them from neighboring invasions. But, one day this comes to an end when the Demon Emperor Jaldabaoth arrives with an army of villainous demi-humans. Fearing invasion of their own lands, the neighboring territory of the Slane Theocracy is forced to beg their enemies at the Sorcerer Kingdom for help. Heeding the call, Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor.",7.719
Death Note Relight 2: L's Successors,"TV Movie, Thriller, Animation, Crime, Drama, Fantasy","Mamoru Miyano, Shido Nakamura, Aya Hirano",Tetsuro Araki,"A recap of Death Note episodes 27–37, with new footage. L's successor must ponder L's defeat if he hopes to succeed where his famed predecessor failed. At the headquarters of the SPK, he calls upon the Japanese task force to declare war on Light.",7.4
Furiosa: A Mad Max Saga,"Action, Science Fiction, Adventure","Anya Taylor-Joy, Chris Hemsworth, Tom Burke",George Miller,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",7.51
Venom,"Science Fiction, Action","Tom Hardy, Michelle Williams, Riz Ahmed",Ruben Fleischer,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",6.8
Joker: Folie à Deux,"Drama, Crime, Thriller","Joaquin Phoenix, Lady Gaga, Brendan Gleeson",Todd Phillips,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",5.522
Sorairo Utility,"Animation, Comedy","Miyu Takagi, Yurina Amami, Ayasa Goto",Kengo Saito,"Three high schoolers, Minami, Ayaka, and Haruka, head out for a sunny day of relaxation at the golf course. Beginner Minami slowly gains confidence on the grass as she learns and laughs with the help and encouragement of her more experienced senpai.",4.7
The Front Room,Horror,"Brandy Norwood, Andrew Burnap, Kathryn Hunter","Max Eggers, Sam Eggers","Everything goes to hell for newly-pregnant Belinda after her mother-in-law moves in. As the diabolical guest tries to get her claws on the child, Belinda must draw the line somewhere.",5.302
Spider-Man: No Way Home,"Action, Adventure, Science Fiction","Tom Holland, Zendaya, Benedict Cumberbatch",Jon Watts,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",8.0
Leggings Mania,"Drama, Romance","James, Im Cho-hee, Im Tae-mok",Richard Kim,"Jeong-hee was living with a man due to a de facto marriage. One day, her daughter, Dam-hoi, returned from her study abroad. Dam-hoi always wears leggings. The soon-to-be stepdad, Byeong-min, who is usually a fan of leggings, pays attention to her daughter's clothes. Jeong-hee noticed it, so she also started wearing leggings to distract her young prospective husband.",5.0
Migration,"Animation, Action, Adventure, Comedy, Family","Kumail Nanjiani, Elizabeth Banks, Caspar Jennings",Benjamin Renner,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",7.423
The Beekeeper,"Crime, Action, Thriller","Jason Statham, Emmy Raver-Lampman, Josh Hutcherson",David Ayer,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,7.342
Fury,"War, Drama, Action","Brad Pitt, Shia LaBeouf, Logan Lerman",David Ayer,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",7.538
Hijack 1971,"Action, Thriller, Crime","Ha Jung-woo, Yeo Jin-goo, Sung Dong-il",Kim Sung-han,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",6.5
The Equalizer,"Thriller, Action, Crime","Denzel Washington, Marton Csokas, Chloë Grace Moretz",Antoine Fuqua,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",7.282
The Flash,"Adventure, Action, Science Fiction","Ezra Miller, Sasha Calle, Michael Keaton",Andy Muschietti,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",6.677
Civil War,"War, Action, Drama","Kirsten Dunst, Wagner Moura, Cailee Spaeny",Alex Garland,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",6.9
Titanic,"Drama, Romance","Leonardo DiCaprio, Kate Winslet, Billy Zane",James Cameron,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",7.907
The Shawshank Redemption,"Drama, Crime","Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",8.709
House of Darkness,"Horror, Thriller, Comedy, Mystery","Justin Long, Kate Bosworth, Gia Crovatin",Neil LaBute,"Driving home to her secluded estate after meeting at a local bar, a player out to score thinks his beautiful, mysterious date will be another casual hook-up. While getting acquainted, their flirtation turns playful, sexy and sinister. Hoping to get lucky, his luck may have just run out.",5.0
2073,"Thriller, Documentary, Science Fiction","Samantha Morton, Naomi Ackie, Hector Hewer",Asif Kapadia,"Inspired by Chris Marker's iconic 1962 featurette La Jetée; the year is 2073—a not-so-distant dystopian future—and the setting is New San Francisco, the scorched-earth tech-dominant police state where democracy and personal freedom have been well and truly obliterated.",7.1
Canary Black,"Action, Thriller, Crime","Kate Beckinsale, Rupert Friend, Saffron Burrows",Pierre Morel,"Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want.",6.311
Oddity,"Horror, Mystery","Carolyn Bracken, Jonathan French, Steve Wall",Damian Mc Carthy,"After the brutal murder of her twin sister, Darcy goes after those responsible by using haunted items as her tools for revenge.",6.807
John Wick: Chapter 4,"Action, Thriller, Crime","Keanu Reeves, Donnie Yen, Bill Skarsgård",Chad Stahelski,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",7.722
Sikandar Ka Muqaddar,"Thriller, Crime, Mystery, Action","Jimmy Shergill, Avinash Tiwary, Tamannaah Bhatia",Neeraj Pandey,"After an unsolved diamond heist, a hard-nosed cop’s pursuit of his key suspect turns into obsession, until they finally face each other — and the truth.",5.469
Wrath of Man,"Crime, Action, Thriller","Jason Statham, Holt McCallany, Josh Hartnett",Guy Ritchie,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",7.63
Dominique,"Action, Thriller","Oksana Orlan, Sebastián Carvajal, María del Rosario",Michael S. Ojeda,"Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.",7.4
Back in Action,"Action, Comedy","Cameron Diaz, Jamie Foxx, McKenna Roberts",Seth Gordon,"Years after giving up life as CIA spies to start a family, Emily and Matt are pulled back into the world of espionage when their cover is blown.",6.5
Project Silence,"Thriller, Action, Horror, Science Fiction","Lee Sun-kyun, Ju Ji-hoon, Kim Hee-won",Kim Tae-gon,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",7.07
Spider-Man,"Action, Science Fiction","Tobey Maguire, Willem Dafoe, Kirsten Dunst",Sam Raimi,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",7.3
After,"Romance, Drama","Josephine Langford, Hero Fiennes Tiffin, Shane Paul McGhie",Jenny Gage,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",7.122
Animal Adventures: Save The Forest,Animation,"Terrance Stewart, Monica Klein, Christopher Walker",Daniel H. Torrado,"""Animal Adventures: Save The Forest"" portrays Softie and her friends as they fight to save their home from a garbage invasion by an automated factory. This 3D animated film highlights adventure, friendship, and environmental protection.",8.6
Devara: Part 1,"Action, Drama","N.T. Rama Rao Jr., Saif Ali Khan, Prakash Raj",Koratala Siva,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",7.1
My Hero Academia: You're Next,"Animation, Action, Adventure, Science Fiction","Daiki Yamashita, Nobuhiko Okamoto, Yuki Kaji",Tensai Okamura,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",6.7
Sing: Thriller,"Animation, Family, Comedy","Matthew McConaughey, Tori Kelly, Nick Kroll",Garth Jennings,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.",7.2
Shrek,"Animation, Comedy, Fantasy, Adventure, Family","Mike Myers, Eddie Murphy, Cameron Diaz","Andrew Adamson, Vicky Jenson","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",7.744
Longlegs,"Crime, Horror, Thriller","Maika Monroe, Nicolas Cage, Blair Underwood",Osgood Perkins,"FBI Agent Lee Harker is a gifted new recruit assigned to the unsolved case of an elusive serial killer. As the case takes complex turns, unearthing evidence of the occult, Harker discovers a personal connection to the merciless killer and must race against time to stop him before he claims the lives of another innocent family.",6.6
SpongeBob Squarepants: Kreepaway Kamp,"TV Movie, Family, Comedy, Horror, Animation","Tom Kenny, Bill Fagerbakke, Rodger Bumpass","Ian Vasquez, Dave Cunningham, Fred Osmond, Kurt Snyder, Sherm Cohen","While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!",7.1
Aftermath,"Action, Thriller","Dylan Sprouse, Mason Gooding, Dichen Lachman",Patrick Lussier,"A returning war veteran, stricken with PTSD, gets trapped with his teenage sister on Boston's Tobin Memorial Bridge when a heavily armed group of ex-military revolutionaries take everyone hostage.",6.3
The Lion King,"Family, Animation, Drama","Matthew Broderick, Moira Kelly, Nathan Lane","Roger Allers, Rob Minkoff","Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",8.256
The Return,"History, Drama, Adventure","Ralph Fiennes, Juliette Binoche, Charlie Plummer",Uberto Pasolini,"After twenty years away, Odysseus washes up on the shores of Ithaca, haggard and unrecognizable. The king has finally returned home, but much has changed in his kingdom since he left to fight in the Trojan war.",7.0
Through My Window 3: Looking at You,"Romance, Drama, Comedy","Clara Galle, Julio Peña, Natalia Azahara",Marçal Forés,"After the events of the summer, Ares and Raquel they don't see a way forward in their relationship and decide to go separate ways. But when they meet again in the winter in Barcelona, the love and desire they feel for each other is undeniable. Will they be able to find a way to get back together?",6.938
Take Cover,"Action, Thriller","Scott Adkins, Alice Eve, Jack Parr",Nick McKinless,A burned-out professional sniper finds himself trapped in an all-glass penthouse by a lethal competitor and must find a way to survive and escape with little to no cover between him and the killer.,7.0
Elyas,"Action, Thriller","Roschdy Zem, Laëtitia Eïdo, Nabil Elouahabi",Florent-Emilio Siri,"Elyas, a former Special Forces soldier who has become paranoid since a mission in Afghanistan, is recruited to ensure the safety of Amina and her daughter Nour, 13 years old, both of whom came from the Middle East for the holidays. As he takes office, Elyas senses something is up.",6.241
The Avengers,"Science Fiction, Action, Adventure","Robert Downey Jr., Chris Evans, Mark Ruffalo",Joss Whedon,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.726
The Six Triple Eight,"Drama, War, History","Kerry Washington, Sam Waterston, Susan Sarandon",Tyler Perry,"During World War II, the US Army's only all-Black, all-women battalion takes on an impossible mission: sorting through a three-year backlog of 17 million pieces of mail that hadn't been delivered to American soldiers and finish within six months.",7.748
A Quiet Place: Day One,"Horror, Science Fiction, Thriller","Lupita Nyong'o, Joseph Quinn, Alex Wolff",Michael Sarnoski,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",6.772
Meatballs,Comedy,"Bill Murray, Harvey Atkin, Russ Banham",Ivan Reitman,"Tripper is the head counselor at a budget summer camp called Camp Northstar. In truth, he's young at heart and only marginally more mature than the campers themselves. Tripper befriends Rudy, a loner camper who has trouble fitting in. As Tripper inspires his young charges to defeat rival Camp Mohawk in the annual Olympiad competition, Rudy plays matchmaker between Tripper and Roxanne, a female counselor at Northstar.",5.825
The Super Mario Bros. Movie,"Animation, Family, Adventure, Fantasy, Comedy","Chris Pratt, Anya Taylor-Joy, Charlie Day","Aaron Horvath, Michael Jelenic","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",7.6
Through My Window,"Romance, Drama, Comedy","Clara Galle, Julio Peña, Guillermo Lasheras",Marçal Forés,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",7.383
Strange Darling,"Crime, Horror, Thriller","Willa Fitzgerald, Kyle Gallner, Madisen Beaty",JT Mollner,Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.,6.9
Transformers: Rise of the Beasts,"Science Fiction, Adventure, Action","Anthony Ramos, Dominique Fishback, Peter Cullen",Steven Caple Jr.,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",7.266
The Next 365 Days,"Romance, Drama","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna","Barbara Białowąs, Tomasz Mandes",Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,6.39
Below Her Mouth,"Drama, Romance","Erika Linder, Natalie Krill, Sebastian Pigott",April Mullen,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,6.812
