title,genres,actors,directors,synopsis,rating
Anora,"Comedy, Drama, Romance","Mikey Madison, Mark Eydelshteyn, Yura Borisov",Sean Baker,"Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. When the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",7.3
The Best Christmas Pageant Ever,"Comedy, Family, Drama","Judy Greer, Pete Holmes, Molly Belle Wright",Dallas Jenkins,"The Herdmans are absolutely the worst kids in the history of the world. They lie, they steal, they bully… and they've hijacked the town Christmas pageant. As the rowdy family attempts to put on a play about the birth of Jesus, they accidentally discover the true meaning of Christmas.",7.2
Conclave,"Drama, Thriller","Ralph Fiennes, Stanley Tucci, John Lithgow",Edward Berger,"When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a conspiracy that could shake the very foundation of the Catholic Church.",7.3
A Complete Unknown,"Biography, Drama, Music","Timothée Chalamet, Edward Norton, Elle Fanning",James Mangold,"In 1961, a 19-year-old from Minnesota arrives in New York City with his guitar and revolutionary talent, destined to change the course of American music.",7.0
It Ends with Us,"Romance, Drama","Blake Lively, Justin Baldoni, Brandon Sklenar",Justin Baldoni,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",6.8
The Brutalist,"Drama","Adrien Brody, Felicity Jones, Guy Pearce",Brady Corbet,"Escaping post-war Europe, visionary architect László Toth arrives in America to rebuild his life, his work, and his marriage to his wife Margit after being forced apart during wartime by shifting borders and regimes. On his own in a strange new country, László settles in Pennsylvania, where the wealthy and prominent Harrison Lee Beck recognizes his talent for building. But power and legacy come at a heavy cost.",8.0
Sonic the Hedgehog 2,"Adventure, Family, Comedy, Science Fiction","Ben Schwartz, James Marsden, Tika Sumpter",Jeff Fowler,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",7.5
Babygirl,"Drama, Thriller","Nicole Kidman, Harris Dickinson, Antonio Banderas",Halina Reijn,"A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.",6.4
The Piano Lesson,"Drama","Samuel L. Jackson, John David Washington, Ray Fisher",Malcolm Washington,A battle is brewing in the Charles family. At the center stands a prized heirloom piano tearing two siblings apart. On one side, a brother plans to build the family fortune by selling it. On the other, a sister will go to extraordinary lengths to keep it and preserve the family legacy. Their uncle tries to mediate, but even he can't hold back the ghosts of the past.,6.5
Wicked Little Letters,"Comedy, Crime, Drama","Olivia Colman, Jessie Buckley, Anjana Vasan",Thea Sharrock,"Based on a true story. Fiery, letter-writing spinster Edith Swan and her sexually liberated neighbor Rose Gooding, battle censorious, hyper-religious firebrand Prudence Campbell over the matter of some scandalous correspondence. Between vitriol-fueled characters studies and hilariously expletive-filled letters flying back and forth, "Wicked Little Letters" revels in the importance of the written word and champions the cause that most letters of any kind - but especially wicked ones - should be published, sent, and read.",7.0
Emilia Pérez,"Drama, Crime, Comedy, Music","Karla Sofía Gascón, Zoe Saldaña, Selena Gomez",Jacques Audiard,"Rita, an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice, is hired by the leader of a criminal organization.",6.8
Azrael,"Action, Horror, Thriller","Samara Weaving, Vic Carmen Sonne, Katariina Unt",E.L. Katz,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",6.1
Strange Darling,"Horror, Thriller","Willa Fitzgerald, Kyle Gallner, Madisen Beaty",JT Mollner,"Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.",7.3
Deadpool,"Action, Adventure, Comedy","Ryan Reynolds, Morena Baccarin, Ed Skrein",Tim Miller,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",7.6
Woman of the Hour,"Crime, Drama, Thriller","Anna Kendrick, Daniel Zovatto, Tony Hale",Anna Kendrick,"The true story of model-turned-photographer Cheryl Bradshaw, who posed as a contestant on The Dating Game in the midst of serial killer Rodney Alcala's murder spree in 1978.",6.7
Terrifier 3,"Horror","Lauren LaVera, David Howard Thornton, Antonella Rose",Damien Leone,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",6.9
Beetlejuice Beetlejuice,"Comedy, Fantasy, Horror","Michael Keaton, Winona Ryder, Catherine O'Hara",Tim Burton,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",6.628
Smile 2,"Horror","Naomi Scott, Rosemarie DeWitt, Lukas Gage",Parker Finn,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",6.8
Smile,"Horror, Mystery, Thriller","Sosie Bacon, Jessie T. Usher, Kyle Gallner",Parker Finn,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",6.6
Sing,"Animation, Comedy, Family, Music","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane",Garth Jennings,"A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.",7.1
The Penguin,"Crime, Drama",,,,"The Penguin's beginnings in Gotham's underworld are revealed as his rise to power begins.",8.7
Twisters,"Action, Adventure, Thriller","Daisy Edgar-Jones, Glen Powell, Anthony Ramos",Lee Isaac Chung,"As storm season intensifies, the paths of former storm chaser Kate Cooper and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",6.9
Trap,"Crime, Thriller","Josh Hartnett, Ariel Donoghue, Saleka Shyamalan",M. Night Shyamalan,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",6.5
Borderlands,"Action, Comedy, Science Fiction","Cate Blanchett, Kevin Hart, Jack Black",Eli Roth,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",5.9
Blink Twice,"Mystery, Thriller","Naomi Ackie, Channing Tatum, Alia Shawkat",Zoë Kravitz,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there's something sinister hiding beneath the island's lush façade.",6.7
The Crow,"Action, Fantasy, Horror","Bill Skarsgård, FKA twigs, Danny Huston",Rupert Sanders,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",5.5
Late Night with the Devil,"Horror","David Dastmalchian, Laura Gordon, Ian Bliss",Cameron Cairnes,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",7.3
Cuckoo,"Horror, Mystery","Hunter Schafer, Dan Stevens, Jessica Henwick",Tilman Singer,"After reluctantly moving to the German Alps with her father and his new family, Gretchen discovers that their new town hides sinister secrets, as she's plagued by strange noises and frightening visions of a woman pursuing her.",5.9
Transformers One,"Action, Adventure, Animation, Science Fiction","Chris Hemsworth, Brian Cox, Scarlett Johansson",Josh Cooley,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",8.1
Speak No Evil,"Horror, Thriller","James McAvoy, Mackenzie Davis, Aisling Franciosi",James Watkins,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",6.8
A Quiet Place: Day One,"Horror, Science Fiction, Thriller","Lupita Nyong'o, Joseph Quinn, Alex Wolff",Michael Sarnoski,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",6.9
Bad Boys: Ride or Die,"Action, Comedy, Crime","Will Smith, Martin Lawrence, Vanessa Hudgens","Adil El Arbi, Bilall Fallah","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",7.6
Furiosa: A Mad Max Saga,"Action, Adventure, Science Fiction","Anya Taylor-Joy, Chris Hemsworth, Tom Burke",George Miller,"As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",7.6
Inside Out,"Animation, Family, Adventure, Drama, Comedy","Amy Poehler, Phyllis Smith, Richard Kind","Pete Docter, Ronnie Del Carmen","When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",7.9
Argylle,"Action, Comedy, Thriller","Henry Cavill, Bryce Dallas Howard, Sam Rockwell",Matthew Vaughn,"When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden, a cat-allergic spy, Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.",6.1
Lisa Frankenstein,"Comedy, Horror, Romance","Kathryn Newton, Cole Sprouse, Liza Soberano",Zelda Williams,"In 1989, a misunderstood teenager has a high school crush — who just happens to be a handsome corpse! After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness… and a few missing body parts along the way.",6.3
A Haunting in Venice,"Crime, Mystery, Thriller","Kenneth Branagh, Kyle Allen, Camille Cottin",Kenneth Branagh,"Celebrated sleuth Hercule Poirot, now retired and living in self-imposed exile in Venice, reluctantly attends a Halloween séance at a decaying, haunted palazzo. When one of the guests is murdered, the detective is thrust into a sinister world of shadows and secrets.",6.6
Dune: Part Two,"Science Fiction, Adventure","Timothée Chalamet, Zendaya, Rebecca Ferguson",Denis Villeneuve,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",8.2
Poor Things,"Comedy, Science Fiction, Romance","Emma Stone, Mark Ruffalo, Willem Dafoe",Yorgos Lanthimos,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",7.7
Oppenheimer,"Drama, History","Cillian Murphy, Emily Blunt, Matt Damon",Christopher Nolan,"The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.",8.2
Barbie,"Adventure, Comedy, Fantasy","Margot Robbie, Ryan Gosling, America Ferrera",Greta Gerwig,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",7.1
Guardians of the Galaxy Vol. 3,"Science Fiction, Adventure, Action","Chris Pratt, Zoe Saldaña, Dave Bautista",James Gunn,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",7.9
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","After reuniting with Gwen Stacy, Brooklyn's full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",8.4
Fast X,"Action, Crime, Thriller","Vin Diesel, Michelle Rodriguez, Jason Statham",Louis Leterrier,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",7.1
The Flash,"Action, Adventure, Science Fiction","Ezra Miller, Michael Shannon, Ron Livingston",Andy Muschietti,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",6.7
Indiana Jones and the Dial of Destiny,"Adventure, Action","Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas",James Mangold,"Finding himself in a new era, approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",6.6
John Wick: Chapter 4,"Action, Thriller, Crime","Keanu Reeves, Donnie Yen, Bill Skarsgård",Chad Stahelski,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",7.7
Dungeons & Dragons: Honor Among Thieves,"Adventure, Fantasy, Comedy","Chris Pine, Michelle Rodriguez, Regé-Jean Page","Jonathan Goldstein, John Francis Daley","A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",7.2
Scream VI,"Horror, Mystery, Thriller","Melissa Barrera, Jenna Ortega, Jasmin Savoy Brown","Matt Bettinelli-Olpin, Tyler Gillett","Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",6.8
M3GAN,"Horror, Science Fiction, Comedy","Allison Williams, Violet McGraw, Ronny Chieng",Gerard Johnstone,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",7.2
Avatar: The Way of Water,"Science Fiction, Adventure, Action","Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",7.6
Black Panther: Wakanda Forever,"Action, Adventure, Drama","Letitia Wright, Lupita Nyong'o, Danai Gurira",Ryan Coogler,"Queen Ramonda, Shuri, M'Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T'Challa's death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",6.8
Glass Onion: A Knives Out Mystery,"Comedy, Crime, Mystery","Daniel Craig, Edward Norton, Janelle Monáe",Rian Johnson,"World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.",7.2
